location,date,sample,density,quantity
lacléman_gland_kubela,2017-09-28,5.0,5.857,41.0
lacléman_gland_kubela,2017-10-26,6.0,1.0,7.0
lacléman_gland_kubela,2017-11-28,7.0,5.286,37.0
lacléman_gland_kubela,2017-12-16,8.0,2.714,19.0
lacléman_gland_kubela,2018-01-19,9.0,3.429,24.0
lacléman_gland_kubela,2018-02-19,10.0,0.714,5.0
Lacléman_Gland_LecoanetS,2017-07-11,1.0,0.576,49.0
Lacléman_Gland_LecoanetS,2017-08-07,2.0,1.282,109.0
Lacléman_Gland_LecoanetS,2017-09-12,3.0,0.776,66.0
Lacléman_Gland_LecoanetS,2017-10-10,4.0,0.812,69.0
Lacléman_Gland_LecoanetS,2017-11-17,5.0,1.024,87.0
Lacléman_Gland_LecoanetS,2017-12-16,6.0,0.318,27.0
Lacléman_Gland_LecoanetS,2018-01-19,7.0,0.247,21.0
Lacléman_Gland_LecoanetS,2018-02-19,8.0,0.118,10.0
LacLéman_La Tour-de-Peilz_bain des dames_Hammerdirt,2017-05-19,1.0,28.433,853.0
lacléman_vidy_santie,2017-05-02,1.0,11.741,317.0
lacléman_vidy_santie,2017-05-23,2.0,18.593,502.0
lacléman_vidy_santie,2017-06-16,3.0,13.704,370.0
lacléman_vidy_santie,2017-07-21,4.0,8.556,231.0
lacléman_vidy_santie,2017-08-25,5.0,10.074,272.0
lacléman_vidy_santie,2017-09-26,6.0,6.222,168.0
lacléman_vidy_santie,2017-10-24,7.0,4.0,108.0
lacléman_vidy_santie,2017-11-17,8.0,2.889,78.0
lacléman_vidy_santie,2017-12-26,9.0,3.333,90.0
lacléman_vidy_santie,2018-01-23,10.0,6.481,175.0
lacléman_vidy_santie,2018-02-26,11.0,7.667,207.0
langete_langenthal_geiserm,2017-04-24,1.0,4.357,61.0
langete_langenthal_geiserm,2017-05-24,2.0,1.929,27.0
langete_langenthal_geiserm,2017-06-22,3.0,2.0,28.0
langete_langenthal_geiserm,2017-07-24,4.0,5.714,80.0
langete_langenthal_geiserm,2017-08-21,5.0,2.071,29.0
langete_langenthal_geiserm,2017-09-21,6.0,1.214,17.0
langete_langenthal_geiserm,2017-10-25,7.0,0.857,12.0
langete_langenthal_geiserm,2017-11-22,8.0,1.571,22.0
langete_langenthal_geiserm,2017-12-15,9.0,,
langete_langenthal_geiserm,2018-01-30,10.0,1.357,19.0
langete_langenthal_geiserm,2018-02-27,11.0,1.714,24.0
limmat_dietikon_keiserp,2017-05-27,1.0,2.468,153.0
limmat_dietikon_keiserp,2017-06-26,2.0,3.79,235.0
limmat_dietikon_keiserp,2017-08-03,3.0,1.565,97.0
limmat_dietikon_keiserp,2017-09-30,4.0,0.581,36.0
limmat_dietikon_keiserp,2017-10-28,5.0,0.645,40.0
limmat_dietikon_keiserp,2017-11-27,6.0,0.5,31.0
limmat_dietikon_keiserp,2017-12-29,7.0,0.565,35.0
limmat_dietikon_keiserp,2018-01-29,8.0,0.806,50.0
Limmat_Unterengstringen_OggierBührer,2017-04-23,1.0,1.214,34.0
Limmat_Unterengstringen_OggierBührer,2017-05-09,2.0,0.929,26.0
Limmat_Unterengstringen_OggierBührer,2017-06-14,3.0,0.893,25.0
Limmat_Unterengstringen_OggierBührer,2017-07-15,4.0,1.179,33.0
Limmat_Unterengstringen_OggierBührer,2017-08-09,5.0,1.214,34.0
Limmat_Unterengstringen_OggierBührer,2017-09-24,6.0,0.607,17.0
Limmat_Unterengstringen_OggierBührer,2017-10-16,7.0,0.286,8.0
Limmat_Unterengstringen_OggierBührer,2017-11-30,8.0,0.107,3.0
Limmat_Unterengstringen_OggierBührer,2017-12-27,9.0,1.107,31.0
Limmat_Unterengstringen_OggierBührer,2018-01-19,10.0,0.821,23.0
Limmat_Unterengstringen_OggierBührer,2018-02-14,11.0,0.25,7.0
Limmat_Zuerich_JansenA,2017-04-13,1.0,0.593,32.0
Limmat_Zuerich_JansenA,2017-05-11,2.0,0.241,13.0
Limmat_Zuerich_JansenA,2017-06-15,3.0,0.815,44.0
Limmat_Zuerich_JansenA,2017-07-13,4.0,0.648,35.0
Limmat_Zuerich_JansenA,2017-08-17,5.0,1.204,65.0
Limmat_Zuerich_JansenA,2017-09-07,6.0,0.204,11.0
Limmat_Zuerich_JansenA,2017-10-11,7.0,0.148,8.0
Limmat_Zuerich_JansenA,2017-11-16,8.0,0.019,1.0
Limmat_Zuerich_JansenA,2017-12-14,9.0,0.13,7.0
Limmat_Zuerich_JansenA,2018-01-17,10.0,0.037,2.0
Limmat_Zuerich_JansenA,2018-02-13,11.0,0.0,0.0
limmat_zuerich_suterd&glauserp,2017-04-10,1.0,2.976,125.0
limmat_zuerich_suterd&glauserp,2017-05-16,2.0,0.524,22.0
limmat_zuerich_suterd&glauserp,2017-06-14,3.0,3.524,148.0
limmat_zuerich_suterd&glauserp,2017-07-12,4.0,4.69,197.0
limmat_zuerich_suterd&glauserp,2017-08-21,5.0,1.548,65.0
limmat_zuerich_suterd&glauserp,2017-09-26,6.0,0.571,24.0
limmat_zuerich_suterd&glauserp,2017-10-18,7.0,0.5,21.0
limmat_zuerich_suterd&glauserp,2017-11-23,8.0,0.238,10.0
limmat_zuerich_suterd&glauserp,2017-12-21,9.0,0.143,6.0
limmat_zuerich_suterd&glauserp,2018-01-31,10.0,0.024,1.0
limmat_zuerich_suterd&glauserp,2018-02-24,11.0,0.476,20.0
Limmat_Zuerich_WagnerC,2017-04-30,1.0,0.514,18.0
Limmat_Zuerich_WagnerC,2017-05-30,2.0,1.086,38.0
