,date,density,location_id,project_id,quantity,sample
239,2017-04-21,1.8056,greifensee_uster_fischerb_1,SLR,65,1.0
240,2017-05-28,1.0556,greifensee_uster_fischerb_1,SLR,38,2.0
241,2017-06-19,3.0833,greifensee_uster_fischerb_1,SLR,111,3.0
242,2017-07-24,7.0833,greifensee_uster_fischerb_1,SLR,255,4.0
243,2017-08-30,1.1389,greifensee_uster_fischerb_1,SLR,41,5.0
244,2017-09-25,0.25,greifensee_uster_fischerb_1,SLR,9,6.0
245,2017-10-19,0.8056,greifensee_uster_fischerb_1,SLR,29,7.0
246,2018-03-31,1.6111,greifensee_uster_fischerb_1,SLR,58,8.0
247,2017-04-09,0.8571,Grendelbach_Effretikon_DamboneC,SLR,12,1.0
248,2017-05-08,2.5,Grendelbach_Effretikon_DamboneC,SLR,35,2.0
249,2017-06-12,1.2857,Grendelbach_Effretikon_DamboneC,SLR,18,3.0
250,2017-07-03,0.7143,Grendelbach_Effretikon_DamboneC,SLR,10,4.0
251,2017-04-14,0.6486,Inn_Pradella_KohlT,SLR,48,1.0
252,2017-05-23,0.0541,Inn_Pradella_KohlT,SLR,4,2.0
253,2017-06-18,0.0541,Inn_Pradella_KohlT,SLR,4,3.0
254,2017-07-20,0.2973,Inn_Pradella_KohlT,SLR,22,4.0
255,2017-08-20,0.0811,Inn_Pradella_KohlT,SLR,6,5.0
256,2017-09-15,0.027,Inn_Pradella_KohlT,SLR,2,6.0
257,2017-10-20,0.0541,Inn_Pradella_KohlT,SLR,4,7.0
258,2017-04-03,1.3333,jona_tann_nusslin,SLR,16,1.0
259,2017-05-12,2.1667,jona_tann_nusslin,SLR,26,2.0
260,2017-06-25,4.0,jona_tann_nusslin,SLR,48,3.0
261,2017-07-15,3.1667,jona_tann_nusslin,SLR,38,4.0
262,2017-08-22,5.4167,jona_tann_nusslin,SLR,65,5.0
263,2017-09-30,2.4167,jona_tann_nusslin,SLR,29,6.0
264,2017-10-29,0.5,jona_tann_nusslin,SLR,6,7.0
265,2017-11-30,1.5833,jona_tann_nusslin,SLR,19,8.0
266,2017-12-31,1.3333,jona_tann_nusslin,SLR,16,9.0
267,2018-01-31,1.5,jona_tann_nusslin,SLR,18,10.0
268,2018-02-22,0.6667,jona_tann_nusslin,SLR,8,11.0
269,2018-03-22,0.5833,jona_tann_nusslin,SLR,7,12.0
270,2017-04-30,0.0707,katzenbach_zuerich_sanesim,SLR,7,1.0
271,2017-05-25,0.0909,katzenbach_zuerich_sanesim,SLR,9,2.0
272,2017-06-29,0.0707,katzenbach_zuerich_sanesim,SLR,7,3.0
273,2017-07-18,0.1717,katzenbach_zuerich_sanesim,SLR,17,4.0
274,2017-08-21,0.1414,katzenbach_zuerich_sanesim,SLR,14,5.0
275,2017-09-28,0.1515,katzenbach_zuerich_sanesim,SLR,15,6.0
276,2017-10-31,0.1414,katzenbach_zuerich_sanesim,SLR,14,7.0
277,2017-11-29,0.1515,katzenbach_zuerich_sanesim,SLR,15,8.0
278,2017-12-31,0.0909,katzenbach_zuerich_sanesim,SLR,9,9.0
279,2018-01-24,0.0202,katzenbach_zuerich_sanesim,SLR,2,10.0
280,2018-02-28,0.1212,katzenbach_zuerich_sanesim,SLR,12,11.0
281,2018-03-24,0.0808,katzenbach_zuerich_sanesim,SLR,8,12.0
282,2017-04-04,2.8571,katzensee_regensdorfzuerichaffoltern_stueberj,SLR,180,1.0
283,2017-05-03,3.9206,katzensee_regensdorfzuerichaffoltern_stueberj,SLR,247,2.0
284,2017-06-06,1.4603,katzensee_regensdorfzuerichaffoltern_stueberj,SLR,92,3.0
285,2017-07-05,1.3968,katzensee_regensdorfzuerichaffoltern_stueberj,SLR,88,4.0
286,2017-08-15,1.1587,katzensee_regensdorfzuerichaffoltern_stueberj,SLR,73,5.0
287,2017-09-07,1.3651,katzensee_regensdorfzuerichaffoltern_stueberj,SLR,86,6.0
288,2017-10-05,1.9365,katzensee_regensdorfzuerichaffoltern_stueberj,SLR,122,7.0
289,2017-11-06,1.4762,katzensee_regensdorfzuerichaffoltern_stueberj,SLR,93,8.0
290,2017-12-08,1.0,katzensee_regensdorfzuerichaffoltern_stueberj,SLR,63,9.0
291,2018-01-09,1.6508,katzensee_regensdorfzuerichaffoltern_stueberj,SLR,104,10.0
292,2018-02-10,1.3333,katzensee_regensdorfzuerichaffoltern_stueberj,SLR,84,11.0
293,2018-03-08,1.4444,katzensee_regensdorfzuerichaffoltern_stueberj,SLR,91,12.0
294,2017-05-25,13.8571,lacléman_gland_kubela,SLR,97,1.0
295,2017-06-28,6.8571,lacléman_gland_kubela,SLR,48,2.0
296,2017-07-25,6.2857,lacléman_gland_kubela,SLR,44,3.0
297,2017-08-29,4.0,lacléman_gland_kubela,SLR,28,4.0
298,2017-09-28,5.8571,lacléman_gland_kubela,SLR,41,5.0
299,2017-10-26,1.0,lacléman_gland_kubela,SLR,7,6.0
300,2017-11-28,5.2857,lacléman_gland_kubela,SLR,37,7.0
301,2017-12-16,2.7143,lacléman_gland_kubela,SLR,19,8.0
302,2018-01-19,3.4286,lacléman_gland_kubela,SLR,24,9.0
303,2018-02-19,0.7143,lacléman_gland_kubela,SLR,5,10.0
304,2018-03-18,32.0,lacléman_gland_kubela,SLR,224,11.0
305,2017-07-11,0.5765,Lacléman_Gland_LecoanetS,SLR,49,1.0
306,2017-08-07,1.2824,Lacléman_Gland_LecoanetS,SLR,109,2.0
307,2017-09-12,0.7765,Lacléman_Gland_LecoanetS,SLR,66,3.0
308,2017-10-10,0.8118,Lacléman_Gland_LecoanetS,SLR,69,4.0
309,2017-11-17,1.0235,Lacléman_Gland_LecoanetS,SLR,87,5.0
310,2017-12-16,0.3176,Lacléman_Gland_LecoanetS,SLR,27,6.0
