location,date,length,quantity,density,code
aare_bern_scheurerk,2017-11-16,92,2,0.0217,G178
aare_bern_scheurerk,2017-11-16,92,1,0.0109,G188
aare_bern_scheurerk,2017-11-16,92,2,0.0217,G198
aare_bern_scheurerk,2017-11-16,92,2,0.0217,G204
aare_bern_scheurerk,2017-11-16,92,3,0.0326,G208
aare_bern_scheurerk,2018-03-15,92,1,0.0109,G8
aare_bern_scheurerk,2018-03-15,92,1,0.0109,G66
aare_bern_scheurerk,2018-03-15,92,2,0.0217,G67
aare_bern_scheurerk,2018-03-15,92,4,0.0435,G79
aare_bern_scheurerk,2018-03-15,92,3,0.0326,G89
aare_bern_scheurerk,2018-03-15,92,2,0.0217,G124
aare_bern_scheurerk,2018-03-15,92,1,0.0109,G131
aare_bern_scheurerk,2018-03-15,92,1,0.0109,G145
aare_bern_scheurerk,2018-03-15,92,1,0.0109,G156
aare_bern_scheurerk,2018-03-15,92,2,0.0217,G172
aare_bern_scheurerk,2018-03-15,92,2,0.0217,G175
aare_bern_scheurerk,2018-03-15,92,1,0.0109,G177
aare_bern_scheurerk,2018-03-15,92,3,0.0326,G198
aare_bern_scheurerk,2018-03-15,92,1,0.0109,G199
aare_bern_scheurerk,2018-03-15,92,2,0.0217,G204
aare_bern_scheurerk,2018-03-15,92,5,0.0543,G208
aare_bern_scheurerk,2018-03-15,92,3,0.0326,G210
Aare_Brugg_BuchiE,2017-04-12,20,2,0.1,G7
Aare_Brugg_BuchiE,2017-04-12,20,1,0.05,G8
Aare_Brugg_BuchiE,2017-04-12,20,4,0.2,G27
Aare_Brugg_BuchiE,2017-04-12,20,5,0.25,G30
Aare_Brugg_BuchiE,2017-04-12,20,1,0.05,G33
Aare_Brugg_BuchiE,2017-04-12,20,21,1.05,G70
Aare_Brugg_BuchiE,2017-04-12,20,5,0.25,G79
Aare_Brugg_BuchiE,2017-04-12,20,1,0.05,G80
Aare_Brugg_BuchiE,2017-04-12,20,1,0.05,G87
Aare_Brugg_BuchiE,2017-04-12,20,2,0.1,G101
Aare_Brugg_BuchiE,2017-04-12,20,6,0.3,G175
Aare_Brugg_BuchiE,2017-05-08,20,1,0.05,G23
Aare_Brugg_BuchiE,2017-05-08,20,25,1.25,G27
