location,date,sample,density,quantity
langete_langenthal_geiserm,2018-01-30,9,1.357,19
langete_langenthal_geiserm,2018-02-27,10,1.714,24
langete_langenthal_geiserm,2018-03-30,11,1.571,22
limmat_dietikon_keiserp,2017-05-27,1,2.468,153
limmat_dietikon_keiserp,2017-06-26,2,3.79,235
limmat_dietikon_keiserp,2017-08-03,3,1.565,97
limmat_dietikon_keiserp,2017-09-30,4,0.581,36
limmat_dietikon_keiserp,2017-10-28,5,0.645,40
limmat_dietikon_keiserp,2017-11-27,6,0.5,31
limmat_dietikon_keiserp,2017-12-29,7,0.565,35
limmat_dietikon_keiserp,2018-01-29,8,0.806,50
limmat_dietikon_keiserp,2018-03-29,9,1.484,92
Limmat_Unterengstringen_OggierBührer,2017-04-23,1,1.214,34
Limmat_Unterengstringen_OggierBührer,2017-05-09,2,0.929,26
Limmat_Unterengstringen_OggierBührer,2017-06-14,3,0.893,25
Limmat_Unterengstringen_OggierBührer,2017-07-15,4,1.179,33
Limmat_Unterengstringen_OggierBührer,2017-08-09,5,1.214,34
Limmat_Unterengstringen_OggierBührer,2017-09-24,6,0.607,17
Limmat_Unterengstringen_OggierBührer,2017-10-16,7,0.286,8
Limmat_Unterengstringen_OggierBührer,2017-11-30,8,0.107,3
Limmat_Unterengstringen_OggierBührer,2017-12-27,9,1.107,31
Limmat_Unterengstringen_OggierBührer,2018-01-19,10,0.821,23
Limmat_Unterengstringen_OggierBührer,2018-02-14,11,0.25,7
Limmat_Unterengstringen_OggierBührer,2018-03-07,12,0.964,27
Limmat_Zuerich_JansenA,2017-04-13,1,0.593,32
Limmat_Zuerich_JansenA,2017-05-11,2,0.241,13
Limmat_Zuerich_JansenA,2017-06-15,3,0.815,44
Limmat_Zuerich_JansenA,2017-07-13,4,0.648,35
Limmat_Zuerich_JansenA,2017-08-17,5,1.204,65
Limmat_Zuerich_JansenA,2017-09-07,6,0.204,11
Limmat_Zuerich_JansenA,2017-10-11,7,0.148,8
Limmat_Zuerich_JansenA,2017-11-16,8,0.019,1
